climb_id,climb_name,stage_id,length,steepness,top,km_before_finnish
1,côte_de_laukiz,1,2.1,6.8,220,168
2,côte_de_san_juan_de_gaztelugatxe,1,3.6,7.9,297,114
3,col_de_morga,1,3.8,4.9,324,41
4,côte_de_vivero,1,4.3,7.0,355,27
5,côte_de_pike,1,2.0,9.8,210,10
6,col_d'udana,2,4.5,4.9,512,128
7,côte_d'aztiria,2,2.7,6.0,594,121
8,côte_d'alkiza,2,4.2,5.9,327,68
9,côte_de_gurutze,2,2.5,4.9,153,34
10,jaizkibel,2,8.1,5.3,452,16
11,côte_de_trabakua,3,4.2,5.7,386,180
12,côte_de_milloi,3,2.2,4.9,161,161
13,col_d'itziar,3,5.1,4.1,215,123
14,côte_d'orioko_benta,3,4.6,6.7,313,92
15,côte_de_dému,4,2.1,3.2,217,27
16,col_de_soudet,5,15.2,7.0,1518,75
17,col_d'ichère,5,4.2,6.2,675,38
18,col_de_marie_blanque,5,7.8,8.5,1031,18
19,côte_de_capvern-les-bains,6,5.7,4.7,596,115
20,col_d'aspin,6,12.0,6.6,1485,77
21,col_du_tourmalet,6,17.0,7.4,2112,47
22,cauterets-cambrasque,6,16.2,5.3,1353,0
23,côte_de_béguey,7,1.2,4.3,80,39
24,côte_de_champs-romain,8,2.8,5.0,301,70
25,côte_de_masmont,8,1.3,5.3,345,16
26,côte_de_condat-sur-vienne,8,1.2,5.3,282,10
27,côte_de_felletin,9,2.3,4.8,650,108
28,côte_de_pontcharraud,9,2.0,4.5,683,97
29,côte_de_pontaumur,9,3.9,4.9,723,56
30,puy_de_dôme,9,12.6,7.8,1410,0
31,col_de_la_moréno,10,4.8,4.9,1061,160
32,col_de_guéry,10,7.9,4.8,1262,140
33,col_de_la_croix_saint-robert,10,6.0,6.4,1445,101
34,côte_de_saint-victor-la-rivière,10,3.0,6.0,1025,83
35,côte_de_la_chapelle-marcousse,10,6.6,5.5,968,29
36,côte_de_chaptuzat-haut,11,1.9,4.9,476,148
37,côte_du_mercurol,11,2.9,4.4,446,130
38,côte_de_la_croix_blanche,11,1.7,5.1,285,61
39,côte_de_thizy-les-bourgs,12,4.4,5.6,629,148
40,col_des_écorbans,12,2.0,5.8,824,131
41,col_de_la_casse_froide,12,5.2,6.0,740,59
42,col_de_la_croix_montmain,12,5.5,6.2,735,44
43,col_de_la_croix_rosier,12,5.4,7.7,721,28
44,grand_colombier,13,17.8,7.0,1494,0
45,col_de_saxel,14,4.4,4.6,941,133
46,col_de_cou,14,7.1,7.4,1113,117
47,col_du_feu,14,5.9,7.7,1118,99
48,col_de_la_ramaz,14,13.9,6.9,1612,50
49,col_de_joux_plane,14,11.7,8.5,1690,12
50,col_de_la_forclaz_de_montmin,15,7.2,7.3,1149,96
51,col_de_la_croix_fry,15,11.4,7.1,1463,54
52,col_des_aravis,15,4.4,6.2,1483,46
53,côte_des_amerands,15,2.7,10.1,861,8
54,saint-gervais_mont-blanc,15,7.7,7.0,1379,0
55,côte_de_domancy,16,2.8,8.4,793,4
56,col_des_saisies,17,13.5,5.2,1643,137
57,cormet_de_roselend,17,19.8,6.1,1971,99
58,côte_de_longefoy,17,6.7,7.5,1164,60
59,col_de_la_loze,17,28.3,6.0,2300,7
60,côte_de_chambéry-le-haut,18,1.6,4.3,345,123
61,côte_de_boissieu,18,2.6,4.8,354,80
62,côte_du_bois_de_lionge,19,1.9,5.7,694,149
63,côte_d'ivory,19,2.3,6.1,595,28
64,ballon_d'alsace,20,11.5,5.3,1172,110
65,col_de_la_croix_des_moinats,20,5.2,7.0,882,77
66,col_de_grosse_pierre,20,3.2,7.9,937,69
67,col_de_la_schlucht_,20,4.2,5.0,1136,54
68,petit_ballon,20,9.3,8.1,1157,25
69,col_du_platzerwasel,20,7.1,8.3,1179,8
70,côte_du_pavé_des_gardes,21,1.3,5.9,172,72
