withdrawal_id,stage_id,rider_name,rider_name_id,nationality,team_name
1,1,mas_enric,105,es,movistar_team
2,2,carapaz_richard,33,ec,ef_education_easypost
5,5,guarnieri_jacopo,150,it,lotto_dstny
9,8,cavendish_mark,153,gb,astana_qazaqstan_team
10,8,cras_steff,172,be,totalenergies
11,9,simmons_quinn,71,us,lidl_trek
14,12,jakobsen_fabio,46,nl,soudal_quick_step
15,13,de_la_cruz_david,155,es,astana_qazaqstan_team
16,13,turner_ben,24,gb,ineos_grenadiers
17,13,ewan_caleb,145,au,lotto_dstny
18,14,chaves_esteban,36,co,ef_education_easypost
19,14,shaw_james,39,gb,ef_education_easypost
20,14,sinkeldam_ramon,88,nl,alpecin_deceuninck
21,14,meintjes_louis,92,za,intermarché_circus_wanty
22,14,guerreiro_ruben,106,pt,movistar_team
23,14,pedrero_antonio,112,es,movistar_team
24,14,bardet_romain,113,fr,team_dsm_firmenich
25,15,martínez_daniel_felipe,21,co,ineos_grenadiers
26,16,jorgenson_matteo,109,us,movistar_team
27,17,bauhaus_phil,51,de,bahrain_victorious
28,17,renard_alexis,103,fr,cofidis
29,18,van_aert_wout,6,be,jumbo_visma
30,18,geschke_simon,99,de,cofidis
31,18,perez_anthony,102,fr,cofidis
33,20,lafay_victor,101,fr,cofidis
